budget,genres,homepage,id,keywords,overview,production_companies,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,year,Drama,Comedy,Action,Adventure,Horror,Crime,Thriller,Animation,Fantasy,Romance,Science Fiction,Documentary,Family,Mystery,Music,Western,History,War,TV Movie,Foreign,year_int,buying_power,revenue_adj,budget_adj,primary_genre
70000000,"{""28"": ""Action"", ""53"": ""Thriller""}",,1573,"[{""id"": 502, ""name"": ""ambush""}, {""id"": 720, ""name"": ""helicopter""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 8""18"", ""name"": ""based on novel""}, {""id"": 822, ""name"": ""airport""}, {""id"": 4709, ""name"": ""hand grenade""}, {""id"": 5572, ""name"": ""fistfight""}, {""id"": ""80""15, ""name"": ""cop""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 10794, ""name"": ""snow""}, {""id"": 10""80""8, ""name"": ""dulles international airport""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 11720, ""name"": ""officer involved shooting""}, {""id"": 13015, ""name"": ""terrorism""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14765, ""name"": ""church""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15246, ""name"": ""sabotage""}, {""id"": 335""53"", ""name"": ""walkie talkie""}, {""id"": 156788, ""name"": ""swat team""}, {""id"": 158770, ""name"": ""air traffic control""}, {""id"": 195741, ""name"": ""commando unit""}, {""id"": 207771, ""name"": ""snowmobile""}]","John McClane is an off-duty cop gripped with a feeling of dÌÎÌ_ÌÎ_ÌÎå«Ì´å©jÌÎÌ_ÌÎ_ÌÎÌ__ vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.","[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Gordon Company"", ""id"": 1073}, {""name"": ""Silver Pictures"", ""id"": 1885}]",7/2/90,240031094,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Die Harder,Die Hard 2,6.6,1896,1990,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,1,240031094,70000000, Action
49000000,"{""28"": ""Action"", ""35"": ""Comedy"", ""53"": ""Thriller"", ""80"": ""Crime"", ""9648"": ""Mystery""}",,9548,"[{""id"": 578, ""name"": ""rock and roll""}, {""id"": 837, ""name"": ""show business""}, {""id"": 2570, ""name"": ""rock star""}, {""id"": 5540, ""name"": ""heavy metal""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 155790, ""name"": ""private detective""}]","Ford ""Mr. Rock n' Roll Detective"" Fairlane is experiencing problems, and it's not with the opposite sex. One of them is that all the rock stars pay him with drum sticks, koala bears, food processors and bicycle shorts. Another one of them is that all his employers that want him to find a girl named Zuzu Petals get killed. Why didn't he become a fisherman's detective instead?","[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Silver Pictures"", ""id"": 1885}]",7/11/90,20423389,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Kojak. Columbo. Dirty Harry. Wimps.,The Adventures of Ford Fairlane,6.2,71,1990,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1990,1,20423389,49000000, Action
65000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""878"": ""Science Fiction""}",,861,"[{""id"": 560, ""name"": ""oxygen""}, {""id"": 769, ""name"": ""falsely accused""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 839, ""name"": ""mars""}, {""id"": 848, ""name"": ""double life""}, {""id"": 1475, ""name"": ""telepathy""}, {""id"": 1852, ""name"": ""mutant""}, {""id"": 3249, ""name"": ""hologram""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 3864, ""name"": ""false identity""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 187008, ""name"": ""false memory""}, {""id"": 187046, ""name"": ""implanted memory""}]","Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.","[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""Carolco International N.V."", ""id"": 80461}]",6/1/90,261317921,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","They stole his mind, now he wants it back.",Total Recall,7.1,1710,1990,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1990,1,261317921,65000000, Action
11000000,"{""28"": ""Action"", ""27"": ""Horror""}",,9362,"[{""id"": 1197, ""name"": ""nevada""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 2025, ""name"": ""tractor""}, {""id"": 9743, ""name"": ""stranded""}, {""id"": 10471, ""name"": ""cult favorite""}, {""id"": 14991, ""name"": ""tentacle""}, {""id"": 18255, ""name"": ""rural""}, {""id"": 15""80""64, ""name"": ""graboids""}, {""id"": 15""80""70, ""name"": ""seismologist""}, {""id"": 15""80""71, ""name"": ""binoculars""}, {""id"": 15""80""72, ""name"": ""man eaten by monster""}, {""id"": 158144, ""name"": ""giant worm""}]","Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""No Frills Film Production"", ""id"": 3851}]",1/19/90,48572000,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The monster movie that breaks new ground.,Tremors,6.6,864,1990,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,1,48572000,11000000, Action
30000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""53"": ""Thriller""}",http://www.paramount.com/movies/hunt-red-october,1669,"[{""id"": 339, ""name"": ""submarine""}, {""id"": 2106, ""name"": ""cold war""}, {""id"": 2808, ""name"": ""russian""}, {""id"": 155460, ""name"": ""defection""}, {""id"": 155723, ""name"": ""jack ryan""}]","A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.","[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nina Saxon Film Design"", ""id"": 1693}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}]",3/2/90,199200000,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Invisible. Silent. Stolen.,The Hunt for Red October,7.2,957,1990,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,1,199200000,30000000, Action
8000000,"{""28"": ""Action"", ""53"": ""Thriller""}",,13154,"[{""id"": 1794, ""name"": ""yakuza""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 18098, ""name"": ""samurai sword""}]","An American with a Japanese upbringing, Chris Kenner is a police officer assigned to the Little Tokyo section of Los Angeles. Kenner is partnered with Johnny Murata, a Japanese-American who isn't in touch with his roots. Despite their differences, both men excel at martial arts, and utilize their formidable skills when they go up against Yoshida, a vicious yakuza drug dealer with ties to Kenner's past.","[{""name"": ""Original Pictures"", ""id"": 4234}, {""name"": ""Warner Bros."", ""id"": 6194}]",8/23/91,2275557,79,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",One's a warrior. One's a wise guy. They're two L.A. cops going after a gang of drug lords. Feet first.,Showdown in Little Tokyo,5.7,95,1991,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1.042081102,2371314.946,8336648.816, Action
65000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""35"": ""Comedy""}",,9292,"[{""id"": 716, ""name"": ""vatican""}, {""id"": 2967, ""name"": ""leonardo da vinci""}, {""id"": 5918, ""name"": ""painting""}, {""id"": 6168, ""name"": ""master thief""}]","Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy.","[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Silver Pictures"", ""id"": 1885}]",5/23/91,17218080,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Danger is his middle name.,Hudson Hawk,5.4,269,1991,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1.042081102,17942635.78,67735271.63, Action
100000000,"{""28"": ""Action"", ""53"": ""Thriller"", ""878"": ""Science Fiction""}",,280,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 1366, ""name"": ""shotgun""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 11426, ""name"": ""moral ambiguity""}, {""id"": 11857, ""name"": ""mental institution""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14946, ""name"": ""fictional war""}, {""id"": 160131, ""name"": ""morphing""}, {""id"": 160381, ""name"": ""nuclear weapons""}, {""id"": 162""53""2, ""name"": ""shape shifter""}, {""id"": 175468, ""name"": ""savior""}, {""id"": 175472, ""name"": ""catch phrase""}]","Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.","[{""name"": ""Lightstorm Entertainment"", ""id"": 574}, {""name"": ""Pacific Western"", ""id"": 1280}, {""name"": ""Canal+"", ""id"": ""53""58}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""T2 Productions"", ""id"": 61409}]",7/1/91,520000000,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",It's nothing personal.,Terminator 2: Judgment Day,7.7,4185,1991,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1991,1.042081102,541882173,104208110.2, Action
23000000,"{""28"": ""Action"", ""53"": ""Thriller""}",http://www.mgm.com/title_title.do?title_star=HARLEYDA,2453,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 1365, ""name"": ""harley davidson""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 14570, ""name"": ""las vegas""}]","It's the lawless future, and renegade biker Harley Davidson (Mickey Rourke) and his surly cowboy buddy, Marlboro (Don Johnson), learn that a corrupt bank is about to foreclose on their friend's bar to further an expanding empire. Harley and Marlboro decide to help by robbing the crooked bank. But when they accidentally filch a drug shipment, they find themselves on the run from criminal financiers and the mob in this rugged action adventure.","[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Krisjair"", ""id"": 22058}, {""name"": ""Laredo"", ""id"": 22059}]",8/23/91,7434726,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",When the going gets tough... the tough take the law into their own hands.,Harley Davidson and the Marlboro Man,6.1,82,1991,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1.042081102,7747587.463,23967865.35, Action
35000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""18"": ""Drama"", ""53"": ""Thriller""}",,18886,"[{""id"": 2""53""2, ""name"": ""bomber""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 4410, ""name"": ""u.s. navy""}, {""id"": 10168, ""name"": ""aviation""}, {""id"": 18543, ""name"": ""combat""}, {""id"": 33702, ""name"": ""bombing""}]","U.S. Navy pilot Lt. Jake Grafton and his bombardier buddy, Lt. Cmdr. Virgil Cole, are two soldiers embedded in the Vietnam War growing frustrated by the military's constraints on their missions. Despite the best efforts of their commanding officer, Cmdr. Frank Camparelli, to re-engage them, this disillusioned pair decide to take the war effort into their own hands with an explosive battle plan that could well get them court-martialed.","[{""name"": ""Paramount Pictures"", ""id"": 4}]",1/18/91,0,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The only thing they can count on is each other.,Flight of the Intruder,5.7,31,1991,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1.042081102,0,36472838.57, Action
